website,stars
https://github.com/sfsheng0322/StickyHeaderListView,2199
https://github.com/square/wire,2195
https://github.com/airbnb/airpal,2194
https://github.com/bingoogolapple/BGABanner-Android,2193
https://github.com/json-path/JsonPath,2191
https://github.com/geftimov/android-pathview,2186
https://github.com/w446108264/XhsEmoticonsKeyboard,2183
https://github.com/twitter/distributedlog,2182
https://github.com/stormzhang/9GAG,2174
https://github.com/Cleveroad/SlidingTutorial-Android,2166
https://github.com/bytedeco/javacpp,2163
https://github.com/Ereza/CustomActivityOnCrash,2161
https://github.com/binIoter/GuideView,2157
https://github.com/MindorksOpenSource/android-mvp-architecture,2157
https://github.com/TangoAgency/material-intro-screen,2156
https://github.com/500px/500px-android-blur,2151
https://github.com/north2016/T-MVP,2140
https://github.com/Marswin/MarsDaemon,2137
https://github.com/b3log/symphony,2135
https://github.com/xinghongfei/LookLook,2134
https://github.com/avast/android-styled-dialogs,2133
https://github.com/Fotoapparat/Fotoapparat,2132
https://github.com/JakeWharton/Telecine,2131
https://github.com/nisrulz/sensey,2130
https://github.com/harjot-oberai/MusicDNA,2129
https://github.com/yusuke/twitter4j,2128
https://github.com/oblac/jodd,2126
https://github.com/yipianfengye/android-adDialog,2126
https://github.com/xfumihiro/ViewInspector,2123
https://github.com/apache/cordova-android,2118
https://github.com/florent37/DiagonalLayout,2115
https://github.com/android-cjj/JJSearchViewAnim,2105
https://github.com/qiujuer/Genius-Android,2103
https://github.com/iPaulPro/Android-ItemTouchHelper-Demo,2103
https://github.com/Frank-Zhu/PullZoomView,2101
https://github.com/eirslett/frontend-maven-plugin,2098
https://github.com/reark/reark,2098
https://github.com/square/mortar,2096
https://github.com/databricks/learning-spark,2094
https://github.com/jd-alexander/LikeButton,2094
https://github.com/eishay/jvm-serializers,2093
https://github.com/chrisbanes/philm,2092
https://github.com/jOOQ/jOOQ,2090
https://github.com/xmuSistone/ViewpagerTransition,2089
https://github.com/MinecraftForge/MinecraftForge,2087
https://github.com/googlesamples/google-services,2084
https://github.com/dlew/joda-time-android,2081
https://github.com/mzule/ActivityRouter,2078
https://github.com/reactive-streams/reactive-streams-jvm,2072
https://github.com/konifar/android-material-design-icon-generator-plugin,2070
https://github.com/HoraApps/LeafPic,2068
https://github.com/bytedeco/javacv,2065
https://github.com/BelooS/ChipsLayoutManager,2065
https://github.com/flavioarfaria/KenBurnsView,2062
https://github.com/githubwing/ZoomHeader,2062
https://github.com/code-mc/material-icon-lib,2057
https://github.com/wenmingvs/AndroidProcess,2054
https://github.com/siyamed/android-shape-imageview,2053
https://github.com/spring-projects/spring-security,2046
https://github.com/Konloch/bytecode-viewer,2045
https://github.com/kbastani/spring-cloud-microservice-example,2041
https://github.com/Yalantis/Euclid,2036
https://github.com/qstumn/BadgeView,2033
https://github.com/android-cjj/BeautifulRefreshLayout,2031
https://github.com/androidquery/androidquery,2029
https://github.com/chenupt/SpringIndicator,2023
https://github.com/alibaba/cobar,2021
https://github.com/glomadrian/Grav,2021
https://github.com/cymcsg/UltimateAndroid,2021
https://github.com/sfsheng0322/MarqueeView,2014
